r,f0
2,13.852659713599813
3,11.3106492929095
4,9.795309620956127
5,8.761191269246238
6,7.997836814639135
7,7.404558077693791
8,6.9263298567999065
9,6.53020641397075
10,6.19509775775639
11,5.9067939487399705
12,5.65532464645475
13,5.433460168831236
14,5.235813228426906
15,5.058276137721115
16,4.8976548104780635
17,4.7514230826859984
18,4.617553237866604
19,4.4943962903620465
20,4.380595634623119
21,4.275023599386727
22,4.176734056225698
23,4.0849264922425865
24,3.9989184073195676
25,3.9181238483824496
26,3.8420365306875706
27,3.770216430969833
28,3.7022790388468954
29,3.637886665224755
30,3.5767413580966987
31,3.5185790858351975
32,3.4631649283999533
33,3.4102890763526745
34,3.3597634820535593
35,3.3114190410136968
36,3.265103206985375
37,3.2206779640552194
38,3.1780180942546665
39,3.137009691105824
40,3.097548878878195
41,3.0595407047367478
42,3.0228981768588774
43,2.9875414263220335
44,2.9533969743699853
45,2.920397089748746
46,2.8884792233133103
47,2.85758550916002
48,2.827662323227375
49,2.79865989170175
50,2.770531942719963
51,2.743235395822563
52,2.716730084415618
53,2.690978507173105
54,2.665945604879712
55,2.6415985596933966
56,2.617906614213453
57,2.594840908085383
58,2.5723743301685396
59,2.5504813845445287
60,2.5291380688605574
61,2.5083217636878
62,2.488011131735232
63,2.46818602589793
64,2.4488274052390318
65,2.429917258108826
66,2.411438531695384
67,2.393375067380361
68,2.3757115413429992
69,2.358433409916091
70,2.341526859251039
71,2.3249787588961026
72,2.308776618933302
73,2.2929085503559996
74,2.27736322840153
75,2.2621298585819
76,2.2471981451810232
77,2.2325582620095954
78,2.2182008252288448
79,2.204116868072403
80,2.1902978173115595
81,2.176735471323583
82,2.1634219796356233
83,2.1503498238282863
84,2.1375117996933635
85,2.1249010005495
86,2.1125108016280403
87,2.1003348454488617
88,2.088367028112849
89,2.0766014864438787
90,2.0650325859187966
91,2.053654909328925
92,2.0424632461212933
93,2.0314525823719385
94,2.020618091347463
95,2.0099551246144842
96,1.9994592036597838
97,1.9891260119868486
98,1.9789513876571159
99,1.9689313162466568
100,1.9590619241912248
101,1.9493394724946114
102,1.9397603507770973
103,1.9303210716424906
104,1.9210182653437853
105,1.9118486747289098
106,1.9028091504493552
107,1.893896646415667
108,1.8851082154849166
109,1.8764410053662819
110,1.8678922547318177
111,1.859459289520377
112,1.8511395194234477
113,1.84293043454241
114,1.834829602207433
115,1.8268346639488382
116,1.8189433326123774
117,1.8111533896104124
118,1.8034626823014908
119,1.7958691214912914
120,1.7883706790483493